天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
Technogym,Technogym,“Technogym”（泰诺健），是一家意大利的健身器材厂家。泰诺健，纯正意大利血统，健身器材中的法拉利。
帝伯格,帝伯格,福州帝伯格商贸有限公司以制造、销售男女式时尚高档休闲鞋为主要经营业务。以制鞋业实力强劲的福建为立足点，辐射全国，远销海外。引进欧美先进的制作工艺和时尚新颖的设计理念，通过自身的不断创新，制作工艺精湛纯熟，融进东方的特色，展现了个性化和浪漫情怀。
神龟,神龟,神龟，用作年号时，可作为北魏孝明帝元诩（518年二月—520年七月）的年号，亦可作为日本圣武天皇（724年二月四日—729年八月五日）的年号。
零听,零听,零听是乐腾达（深圳）日用品有限公司旗下主力品牌，致力于开发各种新型健康防护保健用具产品。零听品牌中最为知名的产品是零听抗噪卫士防噪音睡眠耳塞系列，是目前国内睡眠耳塞的开创性品牌也是销量第一的品牌，于2012年获得“中国著名品牌”称号。及后零听从听力防护产品延伸至其他身体防护产品如眼罩、口罩、枕垫等，并根据产品的特性成立了多个子品牌如圆目、U-healer、逸活等，同时通过高效迅速的研发平台及贴心服务的销售团队，为广大消费者提供优质可靠的新型健康防护产品及专业睡眠健康资讯，不断超越国人对生活品质提高的需求。
ULTRASPIRE,Ultraspire,UltrAspire是水化产品制造商和运动员BryceThatcher的一个新的品牌。主要从事运动事业开发服务和产品营销服务。
锋途,锋途,《锋途》是叶嘉创作的网络小说，发表于17K小说网。
camel active,德国骆驼,德国骆驼始创于1977年，总部设在德国著名的城市科隆，是其母公司WBI推出的极其成功的品牌，全球设有16000家专卖店，年销售额在3亿欧元以上。
BURBERRY,博柏利,博柏利（Burberry）是极具英国传统风格的奢侈品牌，其多层次的产品系列满足了不同年龄和性别消费者需求，公司采用零售、批发和授权许可等方式使其知名度享誉全球。博柏利（Burberry）创办于1856年 ，是英国皇室御用品。过去的几十年，Burberry主要以生产雨衣，伞具及丝巾为主，而今博柏利强调英国传统高贵的设计，赢取无数人的欢心，成为一个永恒的品牌。
里瑟尔,里瑟尔,里瑟尔（挪威语： Risør）是挪威的城镇，由东阿格德尔郡负责管辖。
粉红大布娃娃,粉红大布娃娃,打造出精致女人公式的女装品牌，粉红大布娃娃也加入了2014CHIC展!精致浮雕印花的圆拱门展厅，细腻柔和的壁灯，浪漫的金色灯罩样式展架，金丝可见光影斑驳，蝴蝶飞舞翩跹，优雅精致女人的形象，从此陈列细节便可见一斑。
威丹卡顿,威丹卡顿,威丹卡顿时光流逝，表盘飞转。进入21世纪的威丹卡顿，依旧承袭着最初的严谨与创新，并在欧洲、美洲、亚洲更加广阔的市场上闪耀登场。威丹卡顿的产品，充满了浓厚的西洋风情，但其设计感，却跳出了普通西洋腕表品牌的框框条条，一点一滴描绘着东方人眼中的欧美浪漫，不仅让国人心动，也令久居欧美的顾客不禁沉醉
骏意,哈飞骏意,哈飞骏意是哈飞汽车集多年研发经验，以产品可靠为价值理念自主研发的一款全新宽体大微客，搭载全新M系列发动机，动力强劲、油耗经济，领先国内同类车型。具有大动力、小油耗、高承载、靓外观等强劲的产品优势。
洞若观火,洞若观火,洞若观火是一个成语，读音是dòngruòguānhuǒ，意思是清楚得就像看火一样，形容观察事物非常清楚。出自出自明·林潞《江陵救时之相论》。
LACOSTE,LACOSTE,创始于1933年的LACOSTE一直是轻松高雅的代名词。凭借其纯正的体育血统，如今的LACOSTE象征着一种舒适、优雅的生活态度，独特的设计和高品质的产品涵盖了男装、女装和童装。LACOSTE2012年的年销售额达到了18亿欧元，在全世界114个国家的LACOSTE精选销售网络中，平均每秒钟就有2件LACOSTE商品通过LACOSTE专卖店、商场专柜或者网络专营店售出。
正高,正高,正高增高鞋垫设计科学，根据人体足部骨骼构造和力学受力原理设计增高层面，曲线设计与脚底曲线完全吻合，比普通增高鞋垫穿着更舒适。
尔康,福尔康,福尔康，是电视剧《还珠格格》中的男主角。老版由周杰饰演，新版由李佳航饰演。在剧中的身份：御前侍卫、夏紫薇丈夫、乾隆帝额驸、福家大公子。其父福伦为内阁大学士、一等忠勇公；其弟福尔泰为西藏驸马。
Shinena,Shinena,
梵品,梵品,梵品，是中国生活手礼领导品牌， 梵品精心打造专注人文情怀的生活手礼，产品及服务包括自然食品、古法茶道、音乐定制、原创服饰、纸制手作等。
康贝,康贝,以“创造育儿的感动、协助育儿的伙伴”宣示企业的态度，为传达“幸福感（喜悦、感动）、高品位（品质、信赖、考究）”而设计
CRISPI,克里斯皮,克里斯皮英文名：Crispi生日：1947-05-22场上位置：前锋惯用脚：右脚出生地：科尔多瓦（西）（西班牙）国籍：西班牙
施莱辛格,施莱辛格,施莱辛格（学名：Acerrubrum‘Schlesingeri’）：原产美国东海岸，是落叶大乔木。生长较快，成年高树12-18米，冠幅12米，能适应多种范围的土壤类型生长。春天开花，花红色。因其秋季色彩夺目，树冠整洁，被广泛应用于公园、小区、街道栽植，既可以园林造景又可以做行道树，深受人们的喜爱，是近几年引进的美化、绿化城市园林的理想珍稀树种之一。也是唯一可以用做行道树的彩叶树种。该树种生长迅速，是美国红枫的改良园艺品种，具有很高的观赏价值。
坎古路,坎古路,CANGULU（坎古路）品牌始创于意大利米兰，于2006年在中国大陆注册，并申请了多项开发设计发明专利，是一家集比赛专用台，训练台，娱乐玩具台等系列优质品牌康乐设备的生产销售企业。
高步,高步,高步，汉语词汇。拼音：gāobù释义：1、指阔步，大步。出处晋左思《咏史》之五。
众信,众信,共为忠信。《汉书·贾谊传》：“岂如今定经制，令君君臣臣，上下有差，父子六亲各得其宜，奸人亡所几幸，而羣臣众信，上不疑惑。”颜师古注：“众信，谓共为忠信也。”
MIJI,miji,米基（MIJI）为国内知名的女鞋品牌，以“舒适、甜美、素雅”为主流，亦不乏新潮、时尚、前卫。并以大众化的价格、优质的产品及诚信的服务确立了自己鲜明的品牌形象，短短几年内迅速受到广大消费者的喜爱与拥戴。在网络上提出‘合适就穿，不适就退’的购物理念。为其赢得了广泛的人脉。米基（MIJI）时尚完美主义，米基每一款鞋都成为了白领女性品牌选择的最爱。
极地火,极地火,极地火（英文名称：POLARFIRE），原意是在极寒地方的一团火，是由美籍华裔材料分子科学家郝登云先生一手创建。该品牌由92年给THENORTHFACE做冲锋衣代工做起，2001年建立自己的品牌Polarfire专业致力于冲锋衣的研发和生产，2005年成为美国第十山地师的指定军服供应商，使得polarfire这个品牌在欧美的冲锋衣市场上与老东家THENORTHFACE站在了同一起跑线，2012年开始试水国内市场。
原涉,原涉,原涉（？―24年），颍川阳翟（今河南省禹州市）人，王莽新朝时期著名游侠。受到大司徒史丹的推荐，任谷口县令。后因得罪更始帝刘玄的西屏将军申屠建被杀。
乐颂,乐颂,乐颂是一个汉语词语，读音lèsòng，是指一些王朝祭祀的乐歌。
阿楞,阿楞,纸箱人阿楞出自日本漫画《四叶妹妹》，作者东清彦；这个纸箱子机器人是四叶妹妹的邻居三姐妹中的老幺惠那和她那个男孩子气的死党美丽的暑假研究的产物，由美丽在里面穿着动；为了不破坏四叶妹妹的幻想，两个人骗四叶说是叫“阿楞”的机器人。
DAIWA,DAIWA,DAIWA，世界著名的渔具制造公司，公司总部设在日本，渔具业方面的营业额为“世界第一，其所生产的系列渔具产品，被世界各地的广大钓鱼爱好者视为梦寐以求的极品。DAIWA中国，即广州达亿瓦文体用品有限公司创立于2005年。
MEGA,超进化,超进化，亦称mega进化、百万进化，首次出现在精灵宝可梦第六世代游戏《精灵宝可梦XY》中。是一种只发生在对战过程中的暂时性进化。一部分原本被认为无法再进化的宝可梦突破原本的限制，获得更进一步的进化。超进化后的宝可梦，能够在短时间内解放隐藏的力量，发挥出通常进化所无法匹敌的力量。宝可梦通常能在超进化中提升能力值，拥有更强大的力量。（需要训练师和宝可梦拥有强大的羁绊关系）
布衣传说,布衣传说,布衣传说（英文：POUILLYLEGENDE）是休闲男装品牌新锐，布衣传说致力于打造舒适的休闲男装，崇尚自然、环保、舒适的理念。鲜明的品牌特色，阐述与众不同的穿着时尚，让穿衣风格变成一件值得深究的事情，备受当代时尚男士们的青睐。始终体现睿智男士对舒适精品的追求与休闲生活品味的坚持。
驰为,驰为,驰为是深圳市漫音科技有限公司的品牌。
坚城,坚城,坚城指坚固的城池。出自《韩非子·五蠹》：“万乘之国，莫敢自顿於坚城之下，而使强敌裁其弊也，此必不亡之术也。”
WOLVERINE,金刚狼,金刚狼（Wolverine）是美国漫威漫画旗下超级英雄，初次登场于《不可思议的浩克》（TheIncredibleHulk）第180期（1974年10月）。由莱恩·韦恩、约翰·罗密塔、贺伯特·林普联合创造。本名詹姆斯·豪利特/罗根·豪利特（JamesHowlett/LoganHowlett），十九世纪出生于加拿大的阿尔伯塔省，自从儿时发现自己的生父杀死自己的养父后，罗根的变种人能力便开始显现出来，他拥有延缓衰老和极强的自愈能力，双手还可以伸出骨爪。后来被威廉·史崔克抓走并对其实施X武器计划、骨骼被注入艾德曼合金，手上的骨爪被无坚不摧的刚爪所取代。这使得罗根正式成为金刚狼（Wolverine），之后他加入了X战警和复仇者联盟等超级英雄团队。 因为中国观众有需要商业效应的传统，所以将“Wolverine”译为“金刚狼”，而“Wolverine”的正确翻译是“狼獾”，罗根用这种动物的名字，来作为身材矮小但强壮好斗的自己的超级英雄名。 在2016年漫画《金刚狼之死》中，金刚狼因失去自愈因子被艾德曼金属覆盖全身，窒息而死，后来金刚狼在全新全异宇宙复活。在全新全异系列中漫威从《金刚狼：暮狼寻乡》宇宙中，将老年版罗根带回主宇宙，暮年罗根在搞清自己来到了不同的过去后，暂时与X战警共同活动。 
